,User_ID,Game,Behavior
0,151603712,The Elder Scrolls V Skyrim,1.0
1,151603712,Fallout 4,1.0
2,151603712,Spore,1.0
3,151603712,Fallout New Vegas,1.0
4,151603712,Left 4 Dead 2,1.0
5,151603712,HuniePop,1.0
6,151603712,Path of Exile,1.0
7,151603712,Poly Bridge,1.0
8,151603712,Left 4 Dead,1.0
9,151603712,Team Fortress 2,1.0
10,151603712,Tomb Raider,1.0
11,151603712,The Banner Saga,1.0
12,151603712,Dead Island Epidemic,1.0
13,151603712,BioShock Infinite,1.0
14,151603712,Dragon Age Origins - Ultimate Edition,1.0
15,151603712,Fallout 3 - Game of the Year Edition,1.0
16,151603712,SEGA Genesis & Mega Drive Classics,1.0
17,151603712,Grand Theft Auto IV,1.0
18,151603712,Realm of the Mad God,1.0
19,151603712,Marvel Heroes 2015,1.0
20,151603712,Eldevin,1.0
21,151603712,Dota 2,1.0
22,151603712,BioShock,1.0
23,151603712,Robocraft,1.0
24,151603712,Garry's Mod,1.0
25,151603712,Jazzpunk,1.0
26,151603712,Alan Wake,1.0
27,151603712,BioShock 2,1.0
28,151603712,Fallen Earth,1.0
29,151603712,Fallout New Vegas Courier's Stash,1.0
30,151603712,Fallout New Vegas Dead Money,1.0
31,151603712,Fallout New Vegas Honest Hearts,1.0
32,151603712,Grand Theft Auto Episodes from Liberty City,1.0
33,151603712,Hitman Absolution,1.0
34,151603712,HuniePop Official Digital Art Collection,1.0
35,151603712,HuniePop Original Soundtrack,1.0
36,151603712,The Banner Saga - Mod Content,1.0
37,151603712,The Elder Scrolls V Skyrim - Dawnguard,1.0
38,151603712,The Elder Scrolls V Skyrim - Dragonborn,1.0
39,151603712,The Elder Scrolls V Skyrim - Hearthfire,1.0
40,187131847,Dota 2,1.0
41,59945701,Ultra Street Fighter IV,1.0
42,59945701,FINAL FANTASY XIII,1.0
43,59945701,The Elder Scrolls V Skyrim,1.0
44,59945701,Sid Meier's Civilization V,1.0
45,59945701,L.A. Noire,1.0
46,59945701,Company of Heroes Tales of Valor,1.0
47,59945701,7 Days to Die,1.0
48,59945701,Divekick,1.0
49,59945701,FINAL FANTASY VII,1.0
50,59945701,Orcs Must Die! 2,1.0
51,59945701,Killing Floor,1.0
52,59945701,Company of Heroes,1.0
53,59945701,Bastion,1.0
54,59945701,Undertale,1.0
55,59945701,Counter-Strike Global Offensive,1.0
56,59945701,Orcs Must Die!,1.0
57,59945701,THE KING OF FIGHTERS XIII STEAM EDITION,1.0
58,59945701,GUILTY GEAR XX ACCENT CORE PLUS R,1.0
59,59945701,Skullgirls,1.0
60,59945701,Assassin's Creed II,1.0
61,59945701,Company of Heroes Opposing Fronts,1.0
62,59945701,Team Fortress 2,1.0
63,59945701,Guilty Gear X2 #Reload,1.0
64,59945701,Left 4 Dead 2,1.0
65,59945701,Psychonauts,1.0
66,59945701,Cities in Motion 2,1.0
67,59945701,Company of Heroes (New Steam Version),1.0
68,59945701,Company of Heroes 2,1.0
69,59945701,Fallout New Vegas,1.0
70,59945701,Fallout New Vegas Courier's Stash,1.0
71,59945701,Fallout New Vegas Dead Money,1.0
72,59945701,Fallout New Vegas Honest Hearts,1.0
73,59945701,Garry's Mod,1.0
74,59945701,Killing Floor Mod Defence Alliance 2,1.0
75,59945701,Magicka,1.0
76,59945701,Magicka Vietnam,1.0
77,59945701,Natural Selection 2,1.0
78,59945701,Psychonauts Demo,1.0
79,59945701,Sanctum,1.0
80,59945701,Sanctum 2,1.0
81,59945701,Serious Sam 3 BFE,1.0
82,59945701,Skullgirls Endless Beta,1.0
83,59945701,Skyrim High Resolution Texture Pack,1.0
84,53875128,Grand Theft Auto V,1.0
85,53875128,Insurgency,1.0
86,53875128,Left 4 Dead 2,1.0
87,53875128,METAL GEAR SOLID V THE PHANTOM PAIN,1.0
88,53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,1.0
89,53875128,S.T.A.L.K.E.R. Call of Pripyat,1.0
90,53875128,Saints Row The Third,1.0
91,53875128,Far Cry 3,1.0
92,53875128,S.T.A.L.K.E.R. Clear Sky,1.0
93,53875128,Rocket League,1.0
94,53875128,Assassin's Creed II,1.0
95,53875128,Far Cry 4,1.0
96,53875128,Prototype,1.0
97,53875128,Space Pirates and Zombies,1.0
98,53875128,Dying Light,1.0
99,53875128,Just Cause 2,1.0
100,53875128,Mirror's Edge,1.0
101,53875128,Mad Max,1.0
102,53875128,Portal 2,1.0
103,53875128,Deus Ex Human Revolution,1.0
104,53875128,Middle-earth Shadow of Mordor,1.0
105,53875128,RUNNING WITH RIFLES,1.0
106,53875128,Deus Ex Human Revolution - Director's Cut,1.0
107,53875128,Batman Arkham City GOTY,1.0
